model,macro_f1,f1_negative,f1_neutral,f1_positive
MLP,0.710223860645832,0.696078431372549,0.7908163265306123,0.6437768240343348
LSTM,0.7227404026762194,0.7079646017699115,0.8014888337468983,0.6587677725118484
RNN,0.6913521937185326,0.6701030927835051,0.813953488372093,0.59
GRU,0.7324437430848528,0.7128712871287128,0.8283752860411899,0.656084656084656
BERT,0.7931924514017652,0.7942583732057417,0.847001223990208,0.7383177570093458
GPT,0.8034296171644358,0.8135593220338984,0.8530805687203792,0.74364896073903
